Cluster,gender,academic_year,degree_program,home_environment,faculty_environment,F1,F2,F3,F4
2,Female,Year 1,,No,Very satisfied,2.1666666666666665,3.333333333333333,2.5,1.5
2,Female,Year 1,,Yes,Neither satisfied nor dissatisfied,3.0,3.0,3.0,2.5
0,Male,Year 1,,Yes,Satisfied,4.666666666666667,4.333333333333333,2.0,3.0
0,Female,Year 1,,No,Satisfied,4.333333333333333,4.666666666666667,1.75,3.0
2,Female,Year 1,,No,Very satisfied,3.333333333333333,3.0,3.5,3.5
2,Male,Year 1,,Yes,Dissatisfied,3.1666666666666665,2.6666666666666665,3.0,3.5
1,Female,Year 1,,No,Satisfied,3.333333333333333,4.0,2.25,2.5
2,Female,Year 1,,Yes,Very satisfied,2.5,4.0,2.25,3.5
2,Female,Year 1,,Yes,Satisfied,3.5,3.0,2.5,2.5
0,Male,Year 1,,Yes,Very satisfied,3.5,4.333333333333333,1.75,5.0
0,Female,Year 1,,Yes,Very satisfied,4.833333333333333,3.6666666666666665,1.25,3.5
2,Male,Year 2,,Yes,Neither satisfied nor dissatisfied,3.0,3.0,2.5,3.0
2,Female,Year 1,,Yes,Very satisfied,3.8333333333333335,3.0,1.75,2.5
1,Female,Year 1,,Yes,Satisfied,4.5,4.333333333333333,3.25,2.5
1,Female,Year 1,,Yes,Satisfied,3.5,4.333333333333333,1.75,1.0
2,Female,Year 1,,Yes,Satisfied,3.333333333333333,2.6666666666666665,2.25,3.5
0,Female,Year 1,,Yes,Satisfied,3.333333333333333,5.0,1.0,4.0
2,Female,Year 1,,Yes,Satisfied,3.0,3.0,2.5,1.5
2,Female,Year 1,,Yes,Satisfied,3.0,3.0,2.5,1.5
