F1,F2,F3,F4,gender,marital_status,academic_year,academic_failure,degree_program,faculty_environment,home_environment
3.5,1.6666666666666667,2.0,1.5,Female,Single,Year 1,Never,,Satisfied,Yes
3.0,3.0,1.75,2.0,Male,Single,Year 1,Never,,Satisfied,Yes
2.6666666666666665,2.3333333333333335,1.5,3.0,Male,Single,Year 1,Never,,Satisfied,Yes
3.3333333333333335,2.3333333333333335,1.5,3.5,Female,Single,Year 1,Never,,Satisfied,Yes
3.0,3.0,3.0,3.0,Male,Single,Year 1,Never,,Very satisfied,Yes
3.0,1.3333333333333333,1.75,2.0,Male,Single,Year 1,Never,,Satisfied,Yes
3.6666666666666665,4.0,2.0,2.0,Female,Single,Year 1,Never,,Satisfied,No
3.0,1.0,1.5,3.0,Male,Single,Year 1,Never,,Satisfied,Yes
2.6666666666666665,2.0,1.5,1.5,Female,Single,Year 1,Never,,Very satisfied,Yes
4.333333333333333,4.0,3.5,3.0,Female,Single,Year 1,Never,,Satisfied,Yes
3.0,3.0,3.0,3.0,Female,Single,Year 1,Never,,Satisfied,Yes
3.6666666666666665,4.333333333333333,1.25,3.0,Female,Single,Year 1,Never,,Satisfied,No
2.6666666666666665,3.3333333333333335,1.25,3.0,Female,Single,Year 1,Never,,Very satisfied,Yes
5.0,5.0,1.0,3.5,Male,Single,Year 1,Never,,Neither satisfied nor dissatisfied,Yes
3.5,2.6666666666666665,2.25,3.5,Female,Single,Year 1,Never,,Satisfied,Yes
3.0,1.0,1.0,2.0,Female,Single,Year 1,Never,,Very satisfied,Yes
4.333333333333333,4.0,2.0,3.5,Male,Single,Year 1,Never,,Satisfied,Yes
3.8333333333333335,4.333333333333333,1.75,4.5,Male,Single,Year 1,Never,,Satisfied,No
3.6666666666666665,2.6666666666666665,1.5,2.0,Female,Single,Year 1,Never,,Very satisfied,Yes
3.0,3.0,3.0,3.0,Female,Single,Year 1,Never,,Satisfied,Yes
5.0,5.0,1.0,5.0,Male,Single,Year 1,Never,,Satisfied,Yes
4.5,1.0,2.0,1.5,Female,Single,Year 1,Never,,Satisfied,Yes
4.0,4.333333333333333,1.0,4.5,Female,Single,Year 1,Never,,Satisfied,Yes
3.8333333333333335,3.6666666666666665,2.25,3.0,Male,Single,Year 1,Never,,Neither satisfied nor dissatisfied,Yes
3.0,3.0,3.0,5.0,Male,Single,Year 1,Never,,Satisfied,Yes
3.6666666666666665,2.6666666666666665,1.5,2.0,Female,Single,Year 1,Never,,Satisfied,Yes
3.0,5.0,1.5,2.5,Female,Single,Year 1,Never,,Satisfied,Yes
3.6666666666666665,3.0,2.0,3.0,Female,Single,Year 1,Never,,Very satisfied,Yes
4.5,4.333333333333333,1.5,5.0,Female,Single,Year 1,Never,,Very satisfied,Yes
3.6666666666666665,2.6666666666666665,3.0,1.5,Female,Single,Year 1,Never,,Very satisfied,Yes
3.3333333333333335,3.0,2.25,3.0,Male,Single,Year 1,Never,,Neither satisfied nor dissatisfied,Yes
2.8333333333333335,4.0,2.5,1.5,Female,Single,Year 1,Never,,Satisfied,Yes
3.5,1.6666666666666667,2.75,3.5,Female,Single,Year 1,Once or twice,,Dissatisfied,Yes
3.8333333333333335,3.3333333333333335,2.75,1.0,Female,Single,Year 1,Never,,Very satisfied,Yes
3.6666666666666665,4.333333333333333,1.0,2.5,Female,Single,Year 1,Never,,Very satisfied,Yes
3.0,3.0,3.0,3.0,Male,Single,Year 1,Never,,Neither satisfied nor dissatisfied,Yes
3.5,3.0,3.0,2.5,Female,Single,Year 1,Never,,Satisfied,Yes
2.6666666666666665,2.0,1.75,3.0,Female,Single,Year 1,Never,,Very satisfied,Yes
3.6666666666666665,3.3333333333333335,2.0,1.0,Female,Single,Year 1,Never,,Very satisfied,Yes
